doc_id,topic_index,score
0,5,0.633975
1,6,0.516635
2,8,0.791047
3,8,0.930748
4,0,0.965376
5,1,0.89997
6,2,0.543139
7,3,0.699958
8,2,0.77494
9,1,0.819943
10,5,0.552347
11,0,0.1
12,3,0.849964
13,1,0.699924
14,8,0.924985
15,8,0.595534
16,8,0.751651
17,8,0.930754
18,5,0.77497
19,7,0.540058
20,9,0.887475
21,8,0.918166
22,8,0.939987
23,8,0.947049
24,5,0.699915
25,7,0.699965
26,1,0.444401
27,4,0.549966
28,3,0.887476
29,5,0.481827
30,0,0.49338
31,3,0.699944
32,6,0.860353
33,9,0.667174
34,7,0.703304
35,7,0.84997
36,8,0.849967
37,8,0.924977
38,1,0.549943
39,2,0.774945
40,7,0.871395
41,7,0.871394
42,0,0.1
43,8,0.549948
44,7,0.699953
45,9,0.47478
46,8,0.461475
47,6,0.855071
48,5,0.842189
49,6,0.91816
50,0,0.77494
51,1,0.819962
52,5,0.943736
53,6,0.84997
54,8,0.84997
55,7,0.496994
56,7,0.930756
57,0,0.699929
58,7,0.887471
59,4,0.69996
60,1,0.490835
61,3,0.699921
62,3,0.699973
63,7,0.819973
64,1,0.504551
65,5,0.581807
66,1,0.699935
67,4,0.378539
68,0,0.549935
69,4,0.930747
70,4,0.394731
71,4,0.695523
72,1,0.92498
73,9,0.93075
74,9,0.52447
75,0,0.699957
76,4,0.431679
77,4,0.909979
78,7,0.427197
79,7,0.887483
80,3,0.774954
81,8,0.489741
82,0,0.84995
83,5,0.899985
84,5,0.682702
85,0,0.947045
86,1,0.467938
87,2,0.887427
88,0,0.1
89,0,0.918162
90,2,0.849958
91,9,0.583718
92,3,0.849967
93,5,0.538982
94,2,0.947043
95,4,0.819971
96,6,0.409908
97,2,0.783777
98,3,0.549873
99,9,0.87139
100,3,0.909979
101,9,0.774972
102,7,0.700343
103,7,0.849963
104,4,0.549966
105,5,0.93075
106,6,0.819948
107,6,0.774948
108,6,0.819955
109,6,0.699959
110,7,0.549889
111,3,0.774969
112,3,0.918162
113,9,0.819967
114,6,0.549971
115,9,0.849969
116,3,0.774957
117,4,0.774969
118,0,0.699937
119,7,0.389397
120,8,0.899981
121,9,0.871396
122,8,0.819968
123,8,0.871398
124,8,0.608953
125,4,0.511966
126,0,0.899959
127,3,0.592149
128,6,0.849971
129,8,0.769835
130,9,0.909968
131,6,0.699938
132,1,0.819958
133,5,0.849962
134,4,0.930751
135,1,0.549952
136,5,0.770136
137,4,0.62283
138,7,0.822887
139,4,0.595358
140,4,0.939986
141,4,0.949986
142,4,0.607075
143,3,0.435376
144,2,0.947041
145,3,0.81456
146,2,0.819952
147,0,0.545685
148,1,0.871396
149,0,0.535993
150,0,0.599921
151,7,0.552559
152,6,0.549972
153,3,0.81997
154,7,0.774975
155,0,0.1
156,6,0.69995
157,0,0.740808
158,2,0.654698
159,9,0.899976
160,9,0.771083
161,9,0.924978
162,6,0.871399
163,0,0.871399
164,9,0.667732
165,8,0.543671
166,6,0.930749
167,6,0.967847
168,6,0.819945
169,1,0.443535
170,1,0.480159
171,4,0.337328
172,0,0.774939
173,4,0.665884
174,0,0.636382
175,6,0.849955
176,9,0.930749
177,0,0.819932
178,0,0.819962
179,9,0.736899
180,0,0.699951
181,3,0.849972
182,2,0.699972
183,3,0.899979
184,3,0.774938
185,0,0.665426
186,1,0.849456
187,1,0.499823
188,8,0.549927
189,7,0.943262
190,0,0.1
191,0,0.1
192,7,0.819973
193,8,0.935699
194,8,0.774938
195,3,0.499722
196,3,0.774955
197,1,0.549952
198,0,0.1
199,5,0.513647
200,2,0.701608
