"topic","gamma","terms"
"Topic 29",0.0147524912852071,"maps, earth, google, use, using, product, waze"
"Topic 121",0.0123028745707308,"well, yeah, lol, oh, come, shit, true"
"Topic 15",0.0117619466843148,"google, crazy, flat, leaving, used, shows, building"
"Topic 52",0.011068608210997,"like, something, one, happy, every, day, maybe"
"Topic 127",0.0103261838757184,"can, see, comment, zoom, anything, title, even"
"Topic 87",0.00995588078673508,"phone, use, battery, number, using, waze, call"
"Topic 54",0.00944457327700086,"thanks, keep, sharing, content, location, drive, now"
"Topic 195",0.00848397284606495,"just, trip, time, complete, traveling, another, long"
"Topic 9",0.0083085096972148,"think, say, guess, sense, difference, now, lot"
"Topic 47",0.00825850281573124,"know, idea, better, job, luck, op, getting"
"Topic 96",0.00824978541415108,"see, tell, specific, ask, confirm, get, request"
"Topic 90",0.00820112279255092,"try, give, reason, everyone, i’ll, shot, thanks"
"Topic 44",0.00808542777328527,"sure, mean, soon, reported, quickly, helps, man"
"Topic 34",0.00801732392842066,"much, ok, worked, kind, u, helpful, looking"
"Topic 174",0.00796745687596071,"link, photos, instead, delete, another, can, picture"
"Topic 179",0.0079523110529041,"app, probably, use, never, website, program, remember"
"Topic 118",0.00794009722480057,"i’m, name, states, it’s, hoping, wrong, guessing"
"Topic 1",0.00780292527949474,"seems, looks, look, sounds, something, just, zoom"
"Topic 93",0.00776377924667621,"route, along, faster, waze, planning, way, fastest"
"Topic 18",0.00768063723467142,"speed, limit, camera, current, cameras, limits, speedometer"
"Topic 92",0.00762275934400811,"really, feature, hey, wish, says, fucking, kinda"
"Topic 186",0.00745782115399558,"since, got, couple, posted, just, showed, ago"
"Topic 72",0.00739534783325163,"need, thank, reply, appreciate, much, thanks, quick"
"Topic 173",0.00734465708170848,"still, option, isn’t, display, map, it’s, doesn’t"
"Topic 62",0.00731973831144057,"location, map, us, share, please, can, files"
"Topic 184",0.0072667649559319,"click, settings, options, menu, commute, select, go"
"Topic 27",0.00725769779777631,"time, happens, every, set, arrival, real, minutes"
"Topic 69",0.00718079876358897,"someone, r, screenshot, reddit, links, mentioned, forums"
"Topic 156",0.00709943302421347,"way, actually, figure, travel, internet, manually, cars"
"Topic 24",0.00693549699380469,"updated, showing, mine, canada, waiting, work, working"
"Topic 124",0.00692002077190828,"right, correct, question, need, notification, get, detailed"
"Topic 143",0.00683082988609496,"want, user, back, get, switch, bring, comes"
"Topic 8",0.00681418311348399,"great, interesting, anyway, okay, suggestions, added, ah"
"Topic 168",0.00680612833914811,"yes, information, friend, every, late, simply, time"
"Topic 150",0.00676572946757022,"now, you’re, answer, get, bottom, building, corner"
"Topic 192",0.00671315654313827,"waze, voice, alerts, disabled, audio, settings, option"
"Topic 51",0.006656594125118,"report, button, submit, can, reporting, police, issue"
"Topic 21",0.00662126832833295,"removed, gone, buy, years, service, get, places"
"Topic 85",0.00661109428143746,"ios, support, issue, carplay, waze, iphone, ford"
"Topic 86",0.00657298326687952,"work, home, tried, type, timeline, card, get"
"Topic 20",0.00656944187497208,"android, auto, waze, phone, iphone, often, use"
"Topic 16",0.0065309643604207,"apple, google, new, indoor, use, maps, using"
"Topic 145",0.00652146664547432,"anyone, let, don’t, didn’t, fact, wanted, driver"
"Topic 175",0.00652141650060339,"first, made, said, second, looking, meant, signs"
"Topic 185",0.00649083058886688,"years, ago, even, months, basically, moved, lots"
"Topic 170",0.00625702011987244,"cool, really, wow, though, that’s, thanks, just"
"Topic 134",0.00623795915894814,"last, maybe, next, happened, recent, hell, just"
"Topic 197",0.00623587720194352,"one, change, start, making, english, fun, wrong"
"Topic 108",0.00619469522255959,"it’s, car, reports, quality, guy, step, just"
"Topic 183",0.0061836800453321,"directions, driving, walking, turn, giving, get, transit"
"Topic 155",0.00618326352364492,"view, street, names, onto, google, get, building"
"Topic 83",0.00613747241025072,"seen, never, happen, heard, i’ve, clearly, somehow"
"Topic 88",0.00607588001421889,"nice, able, easy, anywhere, expect, opening, easily"
"Topic 57",0.00606297817347767,"update, week, year, weeks, waze, yep, obvious"
"Topic 140",0.00604886263681028,"nothing, seeing, available, least, anybody, seriously, online"
"Topic 56",0.00603715437013519,"many, definitely, hours, wonder, questions, ways, views"
"Topic 146",0.00591387435190486,"road, editor, map, closed, editors, closure, routing"
"Topic 68",0.00585550391991779,"find, hear, news, haha, needed, details, one"
"Topic 60",0.00585112690546623,"go, back, want, away, copy, way, work"
"Topic 45",0.00583476319023906,"lot, house, parking, high, large, land, several"
"Topic 64",0.00582816975974666,"account, either, old, page, log, logged, new"
"Topic 119",0.00576853830093758,"times, thing, gets, lines, yesterday, line, cross"
"Topic 99",0.00567043888713588,"data, maps, api, information, tomtom, map, save"
"Topic 117",0.00566988586593835,"good, bad, means, ever, get, know, battery"
"Topic 79",0.00564656953563866,"fix, fixed, bug, real, known, issue, working"
"Topic 38",0.00562954218899791,"routes, route, traffic, waze, minutes, minute, alternate"
